info;
"{""id"":""SSNG0103.json"",""log"":[""Batıda pahalı bir restoran arıyorum"",""Eşleşen 9 restoran var. Ne yemek istersiniz?"",""İngiliz yemeği denemek istiyorum."",""Eşleşen 2 restoranım var. Onlarla ilgili daha fazla ayrıntı ister misiniz?"",""Hayır, cumartesi için bana bir tane ayırabilirsen, harika olur."",""Tamam, kaç kişi ve zaman tercihi nedir?"",""Dört kişilik masaya ihtiyacım var, 13:30 Cumartesi."",""Tabii, A5LK844G referans numarasıyla Travellers Rest'ta rezervasyon yaptırıyorsunuz. Başka bir konuda yardımcı olabilir miyim?"",""Tamam harika, hayır bu kadarı yeterli."",""Tamam. Yardımcı olabileceğime sevindim. Lütfen tekrar arayın.""]}";
"{""id"":""SNG0511.json"",""log"":[""Günaydın, lütfen şehrin orta kısmında makul fiyatlı bir restoran bulmama yardım eder misiniz?"",""Tabii, birçok iyi seçeneğimiz var. Hangi mutfağı tercih edersin?"",""Önemli değil."",""Oak Bistro 'ya ne dersin? İngiliz yemekleri servis edilmektedir."",""Tabii, adreslerini alabilir miyim lütfen?"",""Restoran 6 Lensfield Road'da bulunuyor.\n"",""Harika! Sanırım ihtiyacım olan tek şey buydu. Teşekkürler. İyi günler.\n"",""Rica ederim! Afiyet olsun! ""]}";
"{""id"":""WOZ20230.json"",""log"":[""Merkezde Türk yemekleri servis eden bir restoran arıyorum"",""Merhaba, Anadolu ve Efes Restaurant Türk yemekleri servis ediyorlar ve şehir merkezinde iki seçenek. Umarım aradığınızı bulursunuz!"",""anatolia nın adresini alabilir miyim?"",""Elbette, anatolia nın adresi 30 Bridge Street Şehir Merkezi. İhtiyacınız olan başka bir şey var mı?"",""Teşekkürler, hoşçakalın."",""teşekkür ederim. Güle güle.""]}";
"{""id"":""WOZ20423.json"",""log"":[""İsviçre yemeği sunan bir restoran arıyorum."",""Üzgünüm ama kasabada İsviçre restoranı yok. Size başka bir şey teklif edebilir miyim?"",""Vietnam yemeklerine peki?"",""Evet thanh binh Vietnam yemeği servisi ediyor ve şehrin batı kısmında başka bir konuda size yardımcı olabilir miyim?"",""Adresi ve telefon numarasını alabilir miyim lütfen?"",""thanh binh 17 Magdalene Street City Center konumunda bulunuyor ve telefon numarası 01223 362456."",""O restoranın yemek türü nedir?"",""Vietnam yemeklerini servis ediyorlar."",""fiyat aralığı nedir?"",""Ucuz fiyat aralığındalar."",""Teşekkürler, hoşçakalın."",""Aradığınız için teşekkürler. Güle güle.""]}";
"{""id"":""SNG0611.json"",""log"":[""Merkezde bir İngiliz restoranı istiyorum."","" Tabii, ihtiyaçlarınızı karşılayan 7 restoran var. 4 orta, 3 pahalı. Bir tercihiniz var mı?"",""Sadece ailem için en iyisi .. Pahalı olana gideceğiz. Perşembe günü saat 14: 00'te bize 5 kişilik bir masa ayırtın."",""Size rezervasyon yaptırmakta güçlük çektiğim için üzgünüm. Başka bir zaman veya restoran türü deneyelim mi?"",""Onun yerine İtalyan deneyelim."",""Caffe Uno, şehir merkezinde çok güzel ve pahalı bir İtalyan restoranı. Orada bir masa ister misiniz?"",""Aslında fikrimi değiştiriyorum. Sonuçta İngiliz yemekleri istiyorum. Şehir merkezinde herhangi birini önerebilir misin?"",""Fitzbillies Restaurant, Cambridge Chop House ve Midsummer House, merkezi bir konumda, İngiliz ve çok pahalıdır, ancak hiçbirinin Perşembe günü saat 14: 00'te 5 kişilik bir masası yok."",""Perşembe günü Cambridge Chop House'u 5 kişi için 13: 00'de deneyebilir misiniz?"",""Perşembe günü saat 13: 00'de Cambridge Chop House'daki 5 kişilik rezervasyonunuz başarılı oldu. Referans numaranız U6GV5ZZV. Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, tek ihtiyacım olan bu. Yardımın için teşekkürler!"",""rica ederim, sistemimizi kullandığınız için teşekkür ederim."",""Rica ederim. Harikaydı!\n"",""İyi günler!""]}";
"{""id"":""SSNG0068.json"",""log"":[""Şehir merkezinde pahalı bir restoran tavsiye eder misiniz?"",""Şehir Merkezinde birkaç restoran gösteriyorum. Belki de ne tür yiyeceklerin olmasını istediğinizi belirtebilirseniz aramamı daha da daraltır."",""Arkadaşımın doğum günü ve Tayland yemeklerini gerçekten çok seviyor."",""Rezervasyonu ne zaman istersiniz? bangkok city de 2 kişilik masa rezervasyonu yapabilirim."",""Çin yemeklerini sevdiğim için, hem Taylan hem Çin yemeklerinin servis edildiği bir restoran var mı?"",""Özür dilerim, her iki mutfağa da hizmet veren bir listem yok. Bir tür yemek denememi ister misiniz?"",""Çin yemeği ile gidelim. Çin mutfağı da seviyor. Merkezde bir tane tavsiye edebilir misiniz?"",""Merkezde ugly duckling var. Orada rezervasyon yaptırmak ister misiniz?"",""Kulağa hoş geliyor. Lütfen önümüzdeki Çarşamba saat 14: 15'te 3 kişilik rezervasyon yaptırın. Referans numarası istiyorum.\n"",""Size orada bir masa bulamıyorum. Bunun yerine tang chineese e ne dersiniz. Referans numaranız SAG9PAI9. Daha iyi yiyecekleri var."",""Sorun değil. Teşekkür ederim."",""Bir şey değil! İyi günler!""]}";
"{""id"":""SNG1363.json"",""log"":[""Bir tren arıyorum. Tren peterborough'dan kalkmalı ve cambridge'e gitmelidir."",""Üzgünüm, sistemimde bir hata yaşıyorum. Lütfen isteğinizi yeniden ifade edebilir misiniz?"",""Şehrin kuzey tarafında ucuz bir restoran arıyorum."",""Sizin için iki seçenek buldum. Royal spice ve da vinci pizzeria. Bir tercihiniz var mı?"",""Hadi da vinci pizzeria deneyelim. Adrese ve telefon numarasına da ihtiyacım var, lütfen."",""da vinci pizzeria mükemmel bir seçim! da vinci pizzeria 20 Milton Road Chesterton da ve telefon numarası 01223351707"",""Harika, yardımın için teşekkürler!"",""Rica ederim! İyi günler.""]}";
"{""id"":""WOZ20396.json"",""log"":[""Merhaba. Ucuz bir barbekü restoranı arıyorum."",""İsteğinizle eşleşen bir restoran yok. Farklı bir restoran ister misiniz?"",""Ucuz Hint restoranları var mı?"",""Sağlanan kriterler için dört liste var. Merkezi mi yoksa güney bölgesini mi tercih edersiniz?"",""Umurumda değil."",""Kohinoor, şehir merkezinde ucuz bir Hint restoranı. Adreslerini ister misiniz?"",""evet lütfen"",""Adresleri 74 Mill Road Şehir Merkezidir"",""Teşekkürler, hoşçakalın"",""Teşekkür ederim, hoşçakalın""]}";
"{""id"":""WOZ20003.json"",""log"":[""Afrika yemekleri sunan pahalı bir restoran istiyorum. Telefonu nedir?"",""Neredesiniz? İşinize yarayabilecek iki tane görüyorum ama en yakınını sunmak istiyorum."",""Bölgesini önemsemiyorum."",""Bedouin şehir merkezinde pahalı bir Afrika restoranı."",""Kulağa hoş geliyor, onların telefonu nedir?"",""Telefon numaraları 01223 367660'tır.\n"",""Harika! Teşekkür ederim. Güle güle."",""Rica ederim, hoşçakal.""]}";
"{""id"":""SNG01179.json"",""log"":[""Bir restoran bulmama yardım eder misin?"",""Belirli bir yemek tarzı mı arıyorsunuz?"",""Aslında bana royal spice adı ile tavsiye edilen belirli bir restoran arıyorum."",""Evet, Royal Spice Victoria Avenue Chesterton'da ve Cambridge'in kuzey kesiminde bulunuyor."",""Royal Spice'in ne tür yiyecekler sunduğunu sorabilir miyim?"",""Tabii! Hint yemekleri."",""Posta koduna ve bölgesine ihtiyacım var."",""Royal Spice kuzey bölgesinde bulunur ve posta kodu cb41eh'dir."",""Harika, teşekkürler. Bugün ihtiyacım olan tek şey bu."",""Sana yardım etmeme izin verdiğin için teşekkür ederim. İyi günler.""]}";
"{""id"":""SNG1204.json"",""log"":[""Yemek için bir yer arıyorum. Restoran Hint yemekleri sunmalı ve merkezde olmalı."",""Tabii! Fiyat aralığınız var mı?"",""Hayır. Belirli bir fiyat aralığı aramıyorum."",""Birkaç yer buldum, sizin için Curry Garden 'da yer ayırmaya çalışmamı ister misiniz?"",""Fiyat aralığım yok ama 18: 45'te 2 kişi için şehir merkezinde olmasını istiyorum."",""Tabii, hangi gün yemek yiyeceksiniz?"",""perşembe günü saat 18: 45'te 2 kişilik bir masa ayırtın."",""Rezervasyon başarılı oldu. Masa 15 dakika boyunca ayrılacaktır, Referans numarası: VYSFHVFC."",""Çok teşekkür ederim."",""Sorun değil, bugün yardım edebileceğim başka bir konu var mı?"",""Bu kadar, teşekkür ederim!"",""Hizmetlerimizi kullandığınız için teşekkür ederiz. iyi günler""]}";
"{""id"":""SNG0658.json"",""log"":[""Tuscan yemekleri sunan bir restoran bulmak istiyorum. Orta fiyat aralığında herhangi bir yer biliyor musunuz?"",""hayır Üzgünüm hiçbir yer bulamadım ama eminim sana İtalyan restoranları bulabilirim."",""Üzgünüm. Sadece orta fiyatlı ve Tuscan gıda hizmet veren bir yer arıyorum."",""Özür dilerim, ama orta fiyat aralığı ile Tuscan gibi bir yer yok gibi görünüyor."",""Tamam. İtalyan da kulağa hoş geliyor aslında. Bunun yerine orta fiyatlı bir İtalyan restoranı bulabilir misiniz?"",""Prezzo'yu şehrin batısında buldum, bu sizin için uygun mu?"",""Evet, işe yarıyor. Çarşamba günü saat 19:00 'da 8 kişilik masa rezervasyonu yapabilir misin?"",""Rezervasyon maalesef başarısız oldu. Başka bir gün veya zaman aralığı deneyebilir miyiz?"",""Çarşamba günü saat 18: 00'de 8 kişilik masa rezervasyonu yapabilir miyiz?"",""Elbette. Sorun değil. Referans numaranız 7U1BWJ5Q."",""Teşekkür ederim, tek ihtiyacım olan bu!"",""Teşekkür ederim, hoşçakalın.""]}";
"{""id"":""WOZ20543.json"",""log"":[""Bana şehrin kuzey kesiminde bir restoran bulabilir misin?"",""Kuzeyde 9 eşleşen kayıt var, hangi fiyat aralığını istiyorsunuz?"",""Umurumda değil."",""İstediğiniz belirli bir yiyecek türü var mı?"",""Evet, dünya yemekleri istiyorum."",""Üzgünüm, kuzeyde dünya yemekleri sunan bir restoran bulamıyorum. İlginizi çekebilecek başka bir yiyecek veya bölge var mı?"",""Belki biraz Hint yemekleri?"",""Büyük vuruş""]}";
"{""id"":""WOZ20168.json"",""log"":[""Afrika yemekleri sunan bir yer arıyorum. Fiyat aralığı umrumda değil."",""Afrikalı ha? Şu anda neredesiniz? Sizi çok uzakta bir yere göndermek istemem"",""Önemli değil. Ne önerileriniz var?"",""Peki ya Beduin?"",""Lütfen bana Beduin adresini ve telefon numarasını bildirin."",""Beduin 100 Mill Road City Center 'da bulunmaktadır ve telefon numarası 01223 367660'tır.\n"",""Teşekkürler, hoşçakalın."",""Afiyet olsun!""]}";
"{""id"":""SSNG0027.json"",""log"":[""Merhaba, güneyde Tuscan yemekleri sunan bir restoran arıyorum."",""Üzgünüm, hiç Tuscan restoranı yok. Sizin için farklı bir mutfak türü bulabilir miyim?"",""Tamam. Sorun yok. Bana Çin yemeği sunan bir yer bulabilir misin?\n"",""Mevcut 3 Çin restoranım var. Tercih edeceğiniz bir fiyat aralığı var mı?"",""Umurumda değil. Bana rezervasyon yapabilir misin, Salı günü saat 12: 45'te 5 kişilik bir masaya ihtiyacım var."",""the lucky star güneyde ve ucuz. O restoranda rezervasyon yapmamı ister misiniz?"",""Lucky star. Tabii neden olmasın."",""Rezervasyon başarısız oldu. Başka bir zaman ya da farklı bir Çin restoranı denemek ister misiniz?"",""Bana aynı bölgede aynı fiyat aralığına sahip bir yer bulabilir misiniz?"",""Şehrin merkezindeki tek ucuz restoran bir Portekiz restoranı. Bunu senin için ayırmamı ister misin?"",""Evet, lütfen. Aynı kişi sayısı, tarih ve saat."",""Belirtilen saat ve tarih için Nandos'taki masada rezervasyon yapabildim. Referans numaranız 0W15TQOH'dir. Bugün size başka bir konuda yardımcı olabilir miyim?"",""Hayır, başka bir şeye ihtiyacım yok, teşekkürler hoşçakal."",""Rica ederim, iyi günler! ""]}";
"{""id"":""WOZ20237.json"",""log"":[""Şehrin kuzeyindeki ucuz bir restoranin adresi ve telefon numarası nedir?"",""da vinci pizzeria ya 01223351707 telefonundan ulaşılabilir ve 20 milton road chesterton'da bulunur"",""Teşekkür ederim. güle güle\n"",""afiyet olsun!""]}";
"{""id"":""WOZ20482.json"",""log"":[""Merhaba, şehrin doğu tarafında uygun fiyatlı bir restoran arıyorum."",""The Curry Prince şehrin doğu tarafında ve Orta fiyat aralığında."",""Telefon numarası nedir?"",""Telefon numaraları 01223 566388'dir"",""Sana yardım edebileceğim başka bir şey var mı"",""Hepsi bu mu?"",""Evet, bilmem gereken tek şey bu. Teşekkür ederim."",""Teşekkürler.""]}";
"{""id"":""WOZ20506.json"",""log"":[""Orta fiyatlı bir Çin restoranı arıyorum."",""Golden Wok, şehrin kuzey kesiminde bulunan orta fiyatlı bir restorandır."",""Bana adreslerini ve posta kodlarını verir misiniz?"",""Golden Wok 191 Histon Road Chesterton adresinde bulunuyor ve posta kodu CB 4, 3 HL Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Teşekkür ederim hoşçakal."",""Sistemimizi kullandığınız için teşekkür ederiz. Güle güle""]}";
"{""id"":""WOZ20127.json"",""log"":[""Şehrin batısında orta fiyatlı bir restoran lütfen. Bana adreslerini ve telefon numaralarını da verin."",""Yemek türü tercihiniz var mı, çünkü sadece Hint, İngiliz ve İtalyan için sonuçlar bulabildim."",""Hint olur"",""Meghna 205 Victoria Road Chesterton'da ve numaraları 01223 727410'dur. Sizin için başka bir şey yapabilir miyim?"",""Hayır, hepsi bu kadar. Teşekkür ederim!"",""Teşekkürler ve iyi akşamlar!""]}";
"{""id"":""WOZ20294.json"",""log"":[""Bask yemeği sunan bir restoran bulmak istiyorum. Fiyat aralığı umrumda değil"",""Özür dilerim, ancak sistemde aradığınız şey hakkında bilgi yok. İsteyebileceğiniz farklı bir yemek türü var mı?"",""evet, uluslararası yemekler"",""Uluslararası yemekler sunan 3 restoran var, şehrin hangi bölgesi ile ilgileniyorsunuz?"",""Umurumda değil."",""Bloomsbury Restaurant'ta Uluslararası Yemekler"",""Adresi alabilir miyim lütfen?"",""Bloomsbury restoran adresi Crowne Plaza Hotel 20 Downing Street'dir."",""Teşekkürler, hoşçakalın."",""Bir şey değil. Güle güle."",""Güle güle."","" İyi günler.""]}";
"{""id"":""WOZ20200.json"",""log"":[""Şehrin kuzey tarafında uygun fiyatlı bir restoran arıyorum."",""191 Histon Road Chesterton'da bulunan Golden Wok'a ne dersiniz?"",""Tamam, adresi ve telefon numarasını alabilir miyim lütfen?"",""Adresi 191 Histon Road Chesterton. Telefon numarası 01223350688"",""Teşekkür ederim, tek ihtiyacım olan bu. İyi geceler."",""Rica ederim. İyi geceler.""]}";
"{""id"":""SSNG0010.json"",""log"":[""Yemek için ucuz bir yer arıyorum."",""Tercih ettiğiniz bir mutfak türünüz var mı?"",""Şehir merkezinde Hint yemeklerini tercih ediyorum"",""O bölgede 3 yer var, 72 Regent Street City Center'da gandhi'yi tavsiye edebilir miyim?"",""Ucuz fiyat aralığında mı?"",""Evet, üçü de ucuz."",""Bu hafta sonu bana rezervasyon yapar mısın?"",""Hangi günü ve zamanı istersiniz?""]}";
"{""id"":""SNG02204.json"",""log"":[""Şanslı yıldız olarak bilinen bir restorana gitmem gerekiyor"",""Cambridge Leisure Park Clifton Way Cherry Hinton'da bulunuyor."",""Teşekkürler, lütfen Cumartesi 18:00 'da 2 kişi için rezervasyon yapınız."",""Özür dilerim, ama şu anda boş masa yok. Başka bir gün veya saat seçmek ister misiniz?"",""Tabii, saat 17: 00'de müsaitlik var mı?"",""Teşekkür ederim hoşçakal""]}";
"{""id"":""SSNG0048.json"",""log"":[""Şehrin merkezinde Kore yemeği sunan bir restoran arıyorum."",""Şehrin merkezinde bir Kore restoranı var. Pahalı bir restoran. Adı Little Seul. Rezervasyon ister misiniz?"",""Lütfen Pazartesi günü saat 19:15 'te 4 kişilik masa rezervasyonu yapın."",""Üzgünüm, Little Seoul o sırada müsait değil. Sizin için bakabileceğim başka bir yemek seçeneği var mı?"",""Aynı bölge ve fiyat aralığında farklı bir restoran nasıl olur."",""Asya oryantal servis eden şehir merkezinde ve pahalı restoran kymmoy için rezervasyonunuz yapıldı. Referans numaranız J39DEUPU. Adresi 52 Mill Road City Center."",""Bu çok yardımcı oldu. Teşekkürler hoşça kalın!"",""Sistemimizi kullandığınız için teşekkür ederiz!""]}";
"{""id"":""WOZ20622.json"",""log"":[""Merhaba, orta fiyatlı bir restoran istiyorum."",""Makul fiyat aralığında birkaç restoran var. Yemek türü veya şehrin bir bölgesi için tercihiniz var mı?"",""doğu tarafında yer alsın"",""Doğu tarafında makul fiyatlı bir Hint Restoranı var, adresi ister misiniz?"",""Evet, lütfen mekanın adresini, telefon numarasını ve posta kodunu alabilir miyim?"",""curry prince adresi: 451 Newmarket Road Fen Ditton, posta kodu CB 5, 8 JJ Telefon numarası 01223 566388"",""Teşekkür ederim."",""Bir şey değil. Bulmana yardım edebileceğim başka bir şey var mı?"",""Bu kadar, teşekkürler. Güle güle."","" Aradığınız için teşekkürler. Güle güle.""]}";
"{""id"":""SNG0550.json"",""log"":[""Merkezin yakınında modern bir Avrupa restoranı arıyorum, benim için bakabilir misin?"",""Evet, isteğinizle eşleşen 4 sonuç var, aradığınız bir fiyat aralığı var mı?"",""Lütfen orta bir fiyat aralığı istiyorum."",""luca cucina and bar ve  riverside brasserie buldum. Herhangi biri sizin için uygun mu?"",""Evet, Pazartesi günü saat 17:45 'te bir kişilik rezervasyon yapabilir misiniz?"",""Üzgünüm, bu restoranların hiçbirinde boş koltuk yok. Belki başka bir zaman ya da farklı bir gün deneyebilir miyiz?"",""Pazartesi günü saat 16: 45'te 1 kişi için bir masa deneyelim."",""Tamam, bu uygun! Masa 15 dakika boyunca rezerve edilecektir. Referans numaranız: MJEOQ3R5."",""Harika. Tüm ihtiyacım olan bu, teşekkürler!"",""Bizimle rezervasyon yaptığınız için teşekkür ederiz. İyi günler.""]}";
"{""id"":""WOZ20254.json"",""log"":[""Orta fiyatlı bir restoran istiyorum."",""Şehrin hangi bölgesini istersiniz?"",""Şehrin güney kısmı."",""Bir İtalyan restoranı ve Modern Avrupa'ya hizmet veren bir restoran var. Hangisini istersiniz?"",""Tercih yok. Birini seç lütfen."",""Pizza Hut Cherry Hinton'a ne dersin?"",""Adres ve telefon numarası nedir?"",""Adres, G4 Cambridge Eğlence Parkı Clifton Way Cherry Hinton'dur. Telefon numarası 01223 323737."",""güle güle"",""güle güle""]}";
"{""id"":""WOZ20499.json"",""log"":[""Merkezde bir restoran arıyorum."",""Pahalı, orta veya ucuz fiyat aralığında bir restoran mı arıyorsunuz?"",""Önemli değil. Özellikle Jamaika yemekleriyle ilgileniyorum."",""Maalesef, Merkez bölgede Jamaika restoranı yok. İstediğiniz başka bir alan veya yiyecek türü var mı?"",""Peki modern Avrupa yemekleri sunan bir yer?"",""Merkezde modern Avrupa yemekleri sunan dört restoranımız var, size yardımcı olabileceğim başka bir şey var mı?"",""Evet, lütfen. Bana en iyilerinden birini ver."",""En pahalısı 40270 King Street Şehir Merkezi'ndeki Darrys Cookhouse ve Wine Shop. Bugün başka bir arzunuz var mı?"",""Teşekkür ederim hoşçakal.\n"","" Teşekkürler ve daha fazla yardım edebileceksek bize bildirin.""]}";
"{""id"":""WOZ20148.json"",""log"":[""Şehrin güneyinde pahalı bir restoran istiyorum."",""Şehrin güneyinde birçok pahalı restoran var. Meksika, Hint, İtalyan veya Çinlileri tercih eder misiniz?"",""Tamam o zaman. Meksikalı'yı alacağım. Restoranın adresini ve telefon numarasını alabilir miyim?"",""Ciquito Restaurant Bar, 2G Cambridge Eğlence Parkı Cherry Hinton Road Cherry Hinton'da. Telefon numarası 01223 400170."",""Teşekkürler, hoşçakalın!"",""Teşekkür ederim, hoşçakalın!""]}";
"{""id"":""SNG0655.json"",""log"":[""Merhaba. Pizza Hut City Centre ı duydunuz mu? Yakında orada yiyebilirim."",""Tabii ki Regent Street Şehir Merkezi'ndeler. orada rezervasyon yaptırmamı ister misin?"",""Hayır, lütfen sadece posta koduna ve adrese ihtiyacım var. Burası bir İtalyan restoranı mı?"",""Pizza Hut City Center, bir İtalyan restoranı olarak listeleniyor, evet. Regent Street City Center'da posta kodu cb21ab'da bulunurlar. Bugün size başka bir konuda yardımcı olabilir miyim?"",""Hayır ihtiyacım olan tek şey bu. Teşekkür ederim!"",""Yardımcı olabildiğimiz için memnunum. Başka sorularınız varsa veya rezervasyon yaptırmanız gerekiyorsa lütfen bize tekrar ulaşın. Teşekkür ederim.""]}";
"{""id"":""WOZ20669.json"",""log"":[""pahalı bir restoran lütfen"",""Aklınızda bir bölge ya da mutfak türü var mı?"",""Katalan yemeği düşünüyordum"",""Pahalı katalan restoranı yok. Başka bir şey bulmanıza yardımcı olabilir miyim?"",""Pahalı katalan restoranları yok. Başka bir şey bulmanıza yardımcı olabilir miyim?"",""Evet. ne tür yiyecek istersiniz?"",""Peki ya İtalyan?"",""Prezzo, orta fiyat aralığındaki bir İtalyan restoranı."",""Harika, adresi, telefon numarası ve bölgesi nedir?"",""Prezzo 21-24 northampton yolunda yer almaktadır. Telefon numarası 01799521260 ve batıda. Size yardımcı olabileceğim başka bir şey var mı?"",""Teşekkür ederim hoşçakal."","" Aradığın için teşekkürler, yemeğin tadını çıkar! Güle güle.""]}";
"{""id"":""WOZ20345.json"",""log"":[""Merhaba, Japon yemekleri sunan bir restoran arıyorum."",""Wagamama, şehrin merkezinde yer alan bir Japon restoranı."",""Telefon numarasını ve adresini alabilir miyim?"",""Telefon numaraları 01223 462354 ve adresleri 36 Saint Andrews Street'tir."",""Teşekkür ederim hoşçakal."","" Rica ederim.""]}";
"{""id"":""WOZ20171.json"",""log"":[""Şehrin batısında ucuz bir restoran bulmak istiyorum. Adres ve yemek tipi nedir?"",""La margherita, şehrin batısında ve ucuz fiyat aralığında bir İtalyan restoranı. Adresleri 15 magdalene caddesi Şehir Merkezi"",""Teşekkür ederim."",""Bir şey değil""]}";
"{""id"":""WOZ20424.json"",""log"":[""Şehrin doğusunda makul fiyatlı bir restoran bulmaya çalışıyorum. Bana bir tane tavsiye edebilir misin?"",""Şehrin doğusunda orta fiyat aralığında üç restoran var. Hint veya İtalyan yemeklerini tercih eder misiniz?"",""Bana Hintlerden bazılarını önerebilir misin?"","" Doğuda güzel bir Hint yeri rajmahal tavsiye ederim."",""Teşekkürler, lütfen bana adres ve telefon numarasını verir misiniz?"","" Tabi. Rajmahal adresi 7 Barnwell Road Fen Ditton ve telefon numarası 01223 244955. Bugün size yardımcı olabileceğim başka bir konu var mı?"",""Teşekkürler, hoşçakal"","" Bir şey değil. Güle güle.""]}";
"{""id"":""WOZ20484.json"",""log"":[""Ucuz bir restoran arıyorum."",""Şehrin orta kısmında birkaç ucuz restoran var."",""İspanyol yemeği var mı?"",""Evet, La Raza'da İspanyol yemekleri servis ediliyor. Telefon numaralarını ister misiniz?"",""Hayır, lütfen adresi ve posta kodunu istiyorum."",""La Raza 4-6 Rose Crescent adresindedir, posta kodu CB 2, 3 LL'dir"",""Teşekkürler, hoşçakalın."",""Bu sistemi kullandığınız için teşekkür ederiz ""]}";
"{""id"":""WOZ20601.json"",""log"":[""Lübnan yemekleri sunan orta fiyatlı bir restoran istiyorum"",""Şehir merkezinde Ali Baba var, adresini ister misiniz?"",""Adres ve telefon numarası nedir?"",""Adres 59 Hills Road City Center ve telefon numarası 01462 432565"",""Teşekkür ederim. Güle güle!"",""Teşekkür ederim. Güle güle!""]}";
"{""id"":""WOZ20213.json"",""log"":[""İtalyan yemekleri sunan pahalı bir restoran arıyorum."",""Merkezde ve güneyinde pahalı İtalyan restoranları var. Tercih ettiğiniz bir alan var mı?"",""Restoranın hangi bölgede olduğu umurumda değil."",""Şehrin merkezinde Stazione Restaurant ve Coffee Bar adında çok güzel bir İtalyan restoranı var."",""Adresi ve telefon numarasını alabilir miyim lütfen?"",""Stazione Restaurant ve Coffee Bar için telefon numarası 01223 352607'dir ve Market Hill City Center'da bulunmaktadır."",""Ne tür yiyecekler servis ediyorlar?"",""İtalyan yemekleri servis ediyorlar."",""Teşekkür ederim"",""Rica ederim. İyi günler!""]}";
"{""id"":""SNG01255.json"",""log"":[""Restoran bulmak için yardıma ihtiyacım var."",""Ne tür yiyecekler arıyorsunuz ve gitmek istediğiniz belirli bir bölge var mı?"",""Şehrin merkezinde Tayland mutfağı servis eden bir yer bulmak istiyorum."",""Bangkok şehir merkezinde Tayland yemekleri servis edilmektedir. Rezervasyon yaptırmamı ister misiniz?"",""Evet, Pazar 19:30 'da 4 kişilik bir masaya ihtiyacım var."","" Bangkok şehri için rezervasyon yapıyorsunuz. Referans numaranız 64OEFCHO'dur. Masa 15 dakika boyunca rezerve edilecektir. Başka herhangi bir konu?"",""Hayır, hepsi bu teşekkürler. Güle güle."",""Harika bir gün geçirin ve başka bir şeye ihtiyacınız varsa lütfen bizi tekrar arayın. Hoşçakalın!""]}";
"{""id"":""WOZ20057.json"",""log"":[""Merhaba. Kore yemeği sunan güzel bir restoran bulmama yardım eder misiniz? Adresi de rica edeceğim."","" Little Seoul, Kore yemekleri sunan güzel bir restorandır. Adres 108 Regent Street Şehir Merkezidir."",""Peki posta kodu nedir?"",""Posta kodu CB 2, 1.DP'dir."",""Teşekkür ederim. Güle güle"",""Teşekkürler.""]}";
"{""id"":""SNG0520.json"",""log"":[""Merkezde orta fiyatlı bir restorana ihtiyacım var."",""Kriterlerinize uygun 21 farklı restoran var. Listeyi daraltabilecek belirli bir yemek türü var mı?"",""Tavsiye edeceğinizin mutfak tipini ve posta kodunu alabilir miyim?"",""Anatolia yı tavsiye edebilirim, türk restoranı ve posta kodu cb21uj."",""Tamam, çok teşekkür ederim."",""Bir masa ayırtmak ister misiniz, ayırtacaksanız kaç kişi yemek yiyor?"",""Şimdilik hayır. Her şey için teşekkürler."",""Teşekkürler ve iyi günler!""]}";
"{""id"":""SNG0617.json"",""log"":[""Merhaba, merkez bölgede bir restoran bulmama yardım eder misin?"",""Elbette! Merkezde 69 restoran bulunmaktadır. Ne tür mutfak istersiniz?"",""İtalyan yemeği havasındayım. Hangisi senin favorin?"",""Stazione restoran ve kahve barı. Sizin için rezervasyon yapabilir miyim?"",""Harika. Cumartesi saat 12:45'te 1 kişilik masa rezervasyonu yapabilir misiniz?"",""Masanız ayrıldı. Referans numarası I40Q0GZM."",""Müthiş! Harikasınız, lütfen tüm bu bilgileri bana e-postama gönderin, teşekkürler."",""Rica ederim, ihtiyacınız olan başka bir şey var mıydı?"","" Hayır, bilmek istediğim her şeye sahibim. Çok teşekkürler."",""Rica ederim, afiyet olsun."","" Teşekkürler."",""Cambridge TownInfo Center'ı kullandığınız için teşekkür ederiz. İyi günler!""]}";
"{""id"":""WOZ20515.json"",""log"":[""Şehrin güneyinde orta fiyatlı bir restoran arıyorum. Bana üç restoran tavsiye eder misiniz?"",""Pizza Hut Cherry Hinton, şehrin güneyinde uygun fiyatlı bir İtalyan restoranı ve Restaurant Alimentum, şehrin güneyinde uygun fiyatlı modern bir Avrupa restoranı."",""Üçüncü bir restoran var mı?"",""Yok."",""Tamam. Restaurant Alimentum'un adresini ve telefon numarasını verir misiniz?"",""Telefon numaraları 01223413000 ve 152-154 Hills Road adresindedir."",""Çok teşekkürler! Hoşçakal!"",""Teşekkür ederim, hoşçakalın. ""]}";
"{""id"":""WOZ20293.json"",""log"":[""Avrupa yemekleri sunan bir restoranın telefon numarasını ve adresini arıyorum."",""Avrupa yemekleri sunan bir çok restoran var, bölgeyi veya fiyat aralığını daraltabilir misiniz?"",""Umurumda değil. bana bunlardan birinin adresini ve telefon numarasını ver."",""Cambridge Lodge Restaurant Avrupa yemekleri sunmaktadır ve pahalı fiyat aralığındadır. Telefon numarası 01223 355166 ve adres Cambridge Lodge Hotel 139 Huntingdon Road City Center'dir."",""Harika! teşekkür ederim"",""Teşekkürler ve iyi günler!""]}";
